Model,Cluster,Group,CondoComplex,CondoComplexName,NBHD,PARCEL,ABSTRPRD,LIVEAREA,FINBSMNT,BASEMENT,YRBUILT,CONDITION,QUALITY,TOTUNITS,STORIES,GARTYPE,NOCARS,XTRAFFIC,FLOORLVL,NUMBDRM,NUMBATHS,COMMUSE,ARCSTYLE,SPRICE,DEDUCT,NETPRICE,TASP,SMONTH,SYEAR,QUALIFIED,STATUS
7,3,,,,216,02201-15-018-000,1112,669,168,669,1909,AVG,C,1,1,Det,2,,,2,2,,ONE-STORY,165000,0,165000,165000,8,2011,U,I
7,5,,,,216,02201-16-003-000,1112,1435,0,619,1900,Good,C,1,2,Det,2,,,3,2,,ONE AND HALF-STORY,336000,4000,332000,332000,3,2012,Q,I
7,5,,,,216,02201-16-011-000,1112,970,827,970,1928,Good,C,1,1,Det,1,,,2,2,,ONE-STORY,301000,0,301000,301000,9,2011,Q,I
7,5,,,,216,02201-16-015-000,1112,966,846,966,1928,AVG,C,1,1,Det,1,,,2,2,,ONE-STORY,236000,6300,229700,229700,9,2010,Q,I
7,5,,,,216,02201-16-017-000,1112,966,869,966,1928,Good,C,1,1,Det,2,,,2,2,,ONE-STORY,305000,0,305000,305000,7,2011,Q,I
7,5,,,,216,02201-17-002-000,1112,1364,166,828,1911,Good,C,1,2,Det,1,,,3,2,,ONE AND HALF-STORY,286000,0,286000,286000,10,2011,Q,I
7,5,,,,216,02201-17-012-000,1112,975,605,782,1925,AVG,C,1,1,Det,1,,,2,2,,ONE-STORY,265000,3000,262000,262000,3,2012,Q,I
7,5,,,,216,02201-17-014-000,1112,866,0,208,1946,Good,C,1,1,det/CP,2,,,2,1,,ONE-STORY,220000,4900,215100,215100,5,2012,Q,I
7,5,,,,216,02201-18-004-000,1112,900,0,400,1922,AVG,C,1,1,Det,2,,,2,1,,ONE-STORY,211100,0,211100,211100,3,2012,U,I
7,5,,,,216,02201-18-005-000,1112,885,805,805,1920,Good,C,1,1,Det,2,,,1,2,,ONE-STORY,289000,3000,286000,286000,5,2012,Q,I
7,5,,,,216,02201-19-005-000,1112,954,396,954,1925,Good,C,1,1,Det,1,,,2,1,,ONE-STORY,291250,5000,286250,286250,7,2011,Q,I
7,5,,,,216,02201-19-007-000,1112,784,0,440,1912,Good,C,1,1,Det,2,,,2,1,,ONE-STORY,138000,0,138000,138000,11,2011,U,I
7,5,,,,216,02201-19-007-000,1112,784,0,440,1912,Good,C,1,1,Det,2,,,2,1,,ONE-STORY,247000,5000,242000,242000,4,2012,Q,I
7,5,,,,216,02201-20-004-000,1112,848,848,848,1926,Good,C,1,1,Det,2,,,2,1,,ONE-STORY,195000,0,195000,195000,5,2012,U,I
7,5,,,,216,02201-20-005-000,1112,848,848,848,1926,VGood,C,1,1,Det,2,,,2,2,,ONE-STORY,170000,0,170000,170000,7,2011,U,I
7,5,,,,216,02201-20-005-000,1112,848,848,848,1926,VGood,C,1,1,Det,2,,,2,2,,ONE-STORY,310000,0,310000,310000,11,2011,Q,I
7,5,,,,216,02201-20-021-000,1112,910,910,910,1925,Good,C,1,1,Det,2,,,2,2,,ONE-STORY,190000,0,190000,190000,3,2012,U,I
7,5,,,,216,02201-20-022-000,1112,967,700,830,1926,Good,C,1,1,Det,2,,,3,3,,ONE-STORY,337400,0,337400,337400,10,2010,U,I
7,5,,,,216,02201-20-026-000,1112,756,0,566,1925,AVG,C,1,1,Det,2,,,2,1,,ONE-STORY,186900,0,186900,186900,9,2010,U,I
7,5,,,,216,02201-21-015-000,1112,1062,1062,1062,1948,AVG,B,1,1,Det,3,,,2,2,,ONE-STORY,290000,3500,286500,286500,10,2011,Q,I
7,5,,,,216,02201-21-016-000,1112,748,598,748,1925,AVG,C,1,1,Det,3,,,2,1,,ONE-STORY,240000,6800,233200,233200,8,2010,Q,I
7,5,,,,216,02201-21-020-000,1112,755,0,755,1925,AVG,C,1,1,Det,3,,,2,1,,ONE-STORY,170000,0,170000,170000,4,2012,U,I
7,5,,,,216,02201-22-019-000,1112,772,656,772,1949,AVG,C,1,1,Det,3,,,3,2,,CONVERSIONS,220000,0,220000,220000,9,2011,U,I
7,5,,,,216,02201-23-007-000,1112,1183,783,838,1945,AVG,C,1,1,Det,3,,,2,2,,ONE-STORY,177000,0,177000,177000,7,2011,U,I
7,5,,,,216,02201-24-006-000,1112,960,302,960,1925,Good,C,1,1,Det,3,,,2,1,,ONE-STORY,280000,0,280000,280000,9,2010,Q,I
7,5,,,,216,02201-25-011-000,1112,1870,0,716,1901,Good,C,1,2,None,0,,,3,2,,ONE AND HALF-STORY,405000,0,405000,405000,8,2011,Q,I
7,5,,,,216,02201-26-005-000,1112,839,253,839,1910,Good,C,1,1,Det,2,,,2,2,,ONE-STORY,202150,0,202150,202150,4,2012,U,I
7,5,,,,216,02201-26-006-000,1112,835,835,835,1910,Good,C,1,1,Det,2,,,2,2,,ONE-STORY,290000,1750,288250,288250,9,2010,Q,I
7,5,,,,216,02201-27-002-000,1112,828,725,828,1910,Good,C,1,1,Det,1,,,2,2,,ONE-STORY,265000,0,265000,265000,6,2011,Q,I
7,5,,,,216,02201-27-008-000,1112,1056,0,1056,1922,Good,C,1,1,Det,2,,,2,2,,ONE-STORY,355000,6000,349000,349000,11,2010,Q,I
7,5,,,,216,02201-28-004-000,1112,1092,0,728,1910,Good,C,1,1,Det,1,,,2,1,,ONE-STORY,316000,1000,315000,315000,6,2012,Q,I
7,5,,,,216,02201-29-003-000,1112,828,0,423,1907,Good,C,1,1,None,0,,,2,1,,ONE-STORY,230000,4000,226000,226000,7,2011,Q,I
7,5,,,,216,02201-29-005-000,1112,1400,121,391,1906,Good,C,1,2,Det,2,,,3,2,,ONE AND HALF-STORY,300000,0,300000,300000,5,2012,Q,I
7,5,,,,216,02201-29-009-000,1112,1036,0,288,1905,Good,C,1,1,Det,2,,,2,1,,ONE-STORY,247500,7200,240300,240300,12,2010,Q,I
54,3,,,,216,02201-29-019-000,1114,733,236,262,1923,Good,C,1,1,Det,1,,,1,1,,END UNIT,220000,4940,215060,216440,4,2012,Q,I
7,5,,,,216,02201-31-015-000,1112,1439,0,326,1910,Good,C,1,2,Det,2,,,3,2,,ONE AND HALF-STORY,334900,3450,331450,331450,6,2012,Q,I
7,5,,,,216,02201-31-016-000,1112,903,254,254,1910,Good,C,1,1,Det,2,,,2,2,,ONE-STORY,164000,0,164000,164000,12,2011,U,I
7,5,,,,216,02201-31-016-000,1112,903,254,254,1910,Good,C,1,1,Det,2,,,2,2,,ONE-STORY,290000,2731,287269,287269,5,2012,Q,I
54,3,,,,216,02201-31-021-000,1114,934,441,464,1910,Good,C,1,1,Det,1,,,2,2,,END UNIT,211000,5000,206000,217896,12,2010,Q,I
54,3,,,,216,02201-31-022-000,1114,934,412,464,1910,Good,C,1,1,Det,1,,,2,2,,END UNIT,220000,0,220000,232705,12,2010,Q,I
54,3,,,,216,02201-31-023-000,1114,0,0,0,0,,,0,0,Det,1,,,0,0,,,220000,0,220000,220000,12,2010,U,I
7,5,,,,216,02201-32-003-000,1112,664,0,0,1908,Good,C,1,1,Det,1,,,2,1,,ONE-STORY,172000,0,172000,172000,1,2012,Q,I
7,5,,,,216,02201-32-005-000,1112,619,500,619,1922,Good,C,1,1,Det,2,,,1,2,,ONE-STORY,277570,774,276796,276796,11,2011,Q,I
7,5,,,,216,02201-32-018-000,1112,1025,871,1025,1913,Good,C,1,1,Det,1,,,2,3,,ONE-STORY,210000,0,210000,210000,2,2011,U,I
7,5,,,,216,02201-32-018-000,1112,1025,871,1025,1913,Good,C,1,1,Det,1,,,2,3,,ONE-STORY,360000,0,360000,360000,6,2011,Q,I
54,3,,,,216,02201-32-033-000,1114,886,842,886,1926,Good,C,1,1,Det,1,,,2,2,,END UNIT,250000,0,250000,251604,4,2012,Q,I
7,5,,,,216,02201-33-011-000,1112,924,742,914,1922,Good,C,1,1,det/CP,2,,,2,2,,ONE-STORY,311850,0,311850,311850,1,2011,Q,I
7,5,,,,216,02201-33-012-000,1112,576,208,576,1921,AVG,C,1,1,Det,5,,,2,2,,ONE-STORY,231500,5500,226000,226000,1,2012,Q,I
7,5,,,,216,02201-33-018-000,1112,816,716,816,1923,AVG,C,1,1,Det,1,,,2,2,,ONE-STORY,255000,7000,248000,248000,3,2012,Q,I
7,5,,,,216,02201-34-014-000,1112,829,120,829,1945,Good,C,1,1,Det,4,,,2,1,,ONE-STORY,233500,0,233500,233500,6,2011,Q,I
7,5,,,,216,02201-35-012-000,1112,832,433,832,1945,AVG,C,1,1,Det,3,,,2,1,,ONE-STORY,233000,0,233000,233000,5,2012,Q,I
7,5,,,,216,02201-35-013-000,1112,1115,807,829,1945,Good,C,1,1,Det,3,,,2,3,,ONE-STORY,189000,0,189000,189000,5,2011,U,I
7,5,,,,216,02201-35-013-000,1112,1115,807,829,1945,Good,C,1,1,Det,3,,,2,3,,ONE-STORY,309500,7500,302000,302000,1,2012,Q,I
8,3,,,,208,02202-05-001-000,1112,1286,576,1286,1951,AVG,C,1,1,None,0,,,3,2,,ONE-STORY,257000,0,257000,257000,3,2012,U,I
8,3,,,,208,02202-05-007-000,1112,1267,0,0,1949,AVG,B,1,1,Det,2,,,2,1,,ONE-STORY,250000,0,250000,250000,7,2010,U,I
7,4,,,,216,02202-05-010-000,1112,1484,1162,1162,1948,AVG,C,1,1,Det,3,,,2,2,,ONE-STORY,170000,0,170000,170000,4,2011,Q,I
8,3,,,,208,02202-06-004-000,1112,1251,612,612,1890,Good,C,1,1,Det,2,,,2,3,,ONE-STORY,185000,0,185000,185000,8,2011,U,I
8,3,,,,208,02202-06-004-000,1112,1251,612,612,1890,Good,C,1,1,Det,2,,,2,3,,ONE-STORY,370000,0,370000,374006,2,2012,Q,I
8,3,,,,208,02202-06-017-000,1112,1383,0,0,1947,Good,C,1,1,None,0,,,3,2,,ONE-STORY,342000,4650,337350,337350,6,2012,Q,I
8,3,,,,208,02202-07-006-000,1112,1085,1029,1029,1938,AVG,B,1,1,Det,2,,,2,2,,ONE-STORY,328375,5000,323375,337378,2,2011,Q,I
8,3,,,,208,02202-08-003-000,1112,1931,0,0,1939,Good,B,1,2,Det,3,1,,4,2,,TWO-STORY,218000,0,218000,218000,3,2011,U,I
8,3,,,,208,02202-08-016-000,1112,2044,0,465,1905,AVG,C,1,1,None,0,,,5,3,,ONE-STORY,295000,0,295000,303783,7,2011,Q,I
8,3,,,,208,02202-09-003-000,1112,1775,0,248,1921,AVG,B,1,1,Det,2,,,3,2,,ONE-STORY,210000,0,210000,210000,7,2010,U,I
8,3,,,,208,02202-09-003-000,1112,1775,0,248,1921,AVG,B,1,1,Det,2,,,3,2,,ONE-STORY,459300,0,459300,482919,11,2010,Q,I
8,3,,,,208,02202-10-007-000,1112,974,876,922,1939,VGood,B,1,1,Det,2,,,2,2,,ONE-STORY,445000,0,445000,447409,4,2012,Q,I
8,3,,,,208,02202-10-015-000,1112,1455,1455,1455,1951,Good,B,1,1,Det,2,1,,3,2,,ONE-STORY,450000,0,450000,469487,2,2011,Q,I
